,username,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,UniqueID,track_uri
0,ozdakaac3d5c3izl7tcrrzu7i,219226,IDOL,BTS,Love Yourself 結 'Answer',spotify:track:1e8J3XClxZbFmvIHLI8CE4,BTS:IDOL,1e8J3XClxZbFmvIHLI8CE4
1,ozdakaac3d5c3izl7tcrrzu7i,2800,Ghost,Justin Bieber,Justice,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber:Ghost,6I3mqTwhRpn34SLVafSH7G
2,ozdakaac3d5c3izl7tcrrzu7i,2260,deja vu,Olivia Rodrigo,SOUR,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo:deja vu,6HU7h9RYOaPRFeh0R3UeAr
3,ozdakaac3d5c3izl7tcrrzu7i,153190,Ghost,Justin Bieber,Justice,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber:Ghost,6I3mqTwhRpn34SLVafSH7G
4,ozdakaac3d5c3izl7tcrrzu7i,2079,deja vu,Olivia Rodrigo,SOUR,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo:deja vu,6HU7h9RYOaPRFeh0R3UeAr
5,ozdakaac3d5c3izl7tcrrzu7i,4270,Angels Like You,Miley Cyrus,Plastic Hearts,spotify:track:1daDRI9ahBonbWD8YcxOIB,Miley Cyrus:Angels Like You,1daDRI9ahBonbWD8YcxOIB
6,ozdakaac3d5c3izl7tcrrzu7i,556982,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift:All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi
7,ozdakaac3d5c3izl7tcrrzu7i,8737,Falling,Harry Styles,Fine Line,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles:Falling,1ZMiCix7XSAbfAJlEZWMCp
8,ozdakaac3d5c3izl7tcrrzu7i,1920,Maniac,Conan Gray,Kid Krow,spotify:track:6KfoDhO4XUWSbnyKjNp9c4,Conan Gray:Maniac,6KfoDhO4XUWSbnyKjNp9c4
9,ozdakaac3d5c3izl7tcrrzu7i,233160,Silver Spoon,BTS,The Most Beautiful Moment in Life Pt.2,spotify:track:6O734u9qnz6B4gWMyszWhi,BTS:Silver Spoon,6O734u9qnz6B4gWMyszWhi
10,ozdakaac3d5c3izl7tcrrzu7i,115220,Amnesia,5 Seconds of Summer,5 Seconds Of Summer,spotify:track:0dIOvducp7ujHTqj66cQ3X,5 Seconds of Summer:Amnesia,0dIOvducp7ujHTqj66cQ3X
11,ozdakaac3d5c3izl7tcrrzu7i,2500,Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,spotify:track:4qu63nuBpdn0qHUHuObEj1,Marshmello:Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1
12,ozdakaac3d5c3izl7tcrrzu7i,219760,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),spotify:track:6AtZLIzUINvExIUy4QhdjP,Taylor Swift:I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP
13,ozdakaac3d5c3izl7tcrrzu7i,18320,Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives,spotify:track:3E7dfMvvCLUddWissuqMwr,Miley Cyrus:Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr
14,ozdakaac3d5c3izl7tcrrzu7i,150670,"I am not a woman, I'm a god",Halsey,"If I Can’t Have Love, I Want Power",spotify:track:5RhFmJifQe83FpQ6ZFFTZ5,"Halsey:I am not a woman, I'm a god",5RhFmJifQe83FpQ6ZFFTZ5
15,ozdakaac3d5c3izl7tcrrzu7i,173959,Stay Alive (Prod. SUGA of BTS),Jung Kook,Stay Alive (Prod. SUGA of BTS),spotify:track:7CAdT0HdiQNlt1C7xk2hep,Jung Kook:Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep
16,ozdakaac3d5c3izl7tcrrzu7i,185500,Stay Alive (Prod. SUGA of BTS),Jung Kook,Stay Alive (Prod. SUGA of BTS),spotify:track:7CAdT0HdiQNlt1C7xk2hep,Jung Kook:Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep
17,ozdakaac3d5c3izl7tcrrzu7i,210928,Stay Alive (Prod. SUGA of BTS),Jung Kook,Stay Alive (Prod. SUGA of BTS),spotify:track:7CAdT0HdiQNlt1C7xk2hep,Jung Kook:Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep
18,ozdakaac3d5c3izl7tcrrzu7i,204803,Stay Alive (Prod. SUGA of BTS),Jung Kook,Stay Alive (Prod. SUGA of BTS),spotify:track:7CAdT0HdiQNlt1C7xk2hep,Jung Kook:Stay Alive (Prod. SUGA of BTS),7CAdT0HdiQNlt1C7xk2hep
19,ozdakaac3d5c3izl7tcrrzu7i,71210,Louder than bombs,BTS,MAP OF THE SOUL : 7,spotify:track:4Aw8n6r2vuU0KUo1a2nftp,BTS:Louder than bombs,4Aw8n6r2vuU0KUo1a2nftp
20,ozdakaac3d5c3izl7tcrrzu7i,229090,Everytime,CHEN,Descendants Of The Sun Pt.2 (Original Television Soundtrack),spotify:track:1D6lK8qADoErTTLkY4YBfM,CHEN:Everytime,1D6lK8qADoErTTLkY4YBfM
21,ozdakaac3d5c3izl7tcrrzu7i,224410,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:3z6XUommYDWPHeFhmhhT6j,Taylor Swift:Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j
22,ozdakaac3d5c3izl7tcrrzu7i,262910,Long Live,Taylor Swift,Speak Now,spotify:track:4ewAfHYpDTzpW1GKO44CVP,Taylor Swift:Long Live,4ewAfHYpDTzpW1GKO44CVP
23,ozdakaac3d5c3izl7tcrrzu7i,45020,Dress,Taylor Swift,reputation,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,Taylor Swift:Dress,6oVxXO5oQ4pTpO8RSnkzvv
24,ozdakaac3d5c3izl7tcrrzu7i,58720,Dancing With Our Hands Tied,Taylor Swift,reputation,spotify:track:7I7JbDv63ZJJsSi24DyJrz,Taylor Swift:Dancing With Our Hands Tied,7I7JbDv63ZJJsSi24DyJrz
25,ozdakaac3d5c3izl7tcrrzu7i,84300,London Boy,Taylor Swift,Lover,spotify:track:1LLXZFeAHK9R4xUramtUKw,Taylor Swift:London Boy,1LLXZFeAHK9R4xUramtUKw
26,ozdakaac3d5c3izl7tcrrzu7i,45740,Breathe,Taylor Swift,Fearless,spotify:track:0qsSmObOgBZfuMIwfAQDBP,Taylor Swift:Breathe,0qsSmObOgBZfuMIwfAQDBP
27,ozdakaac3d5c3izl7tcrrzu7i,10690,The Lucky One,Taylor Swift,Red,spotify:track:5VQLMrWhailAhErKNUSnv1,Taylor Swift:The Lucky One,5VQLMrWhailAhErKNUSnv1
28,ozdakaac3d5c3izl7tcrrzu7i,206260,"Sweeter Than Fiction - From ""One Chance"" Soundtrack",Taylor Swift,Sweeter Than Fiction,spotify:track:0RFCHlNuTeUHIB36VuVbOL,"Taylor Swift:Sweeter Than Fiction - From ""One Chance"" Soundtrack",0RFCHlNuTeUHIB36VuVbOL
29,ozdakaac3d5c3izl7tcrrzu7i,91440,I Want It That Way,Backstreet Boys,Millennium,spotify:track:47BBI51FKFwOMlIiX6m8ya,Backstreet Boys:I Want It That Way,47BBI51FKFwOMlIiX6m8ya
30,ozdakaac3d5c3izl7tcrrzu7i,34930,Crush,David Archuleta,David Archuleta,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,David Archuleta:Crush,4wCD0qOFNRu1Q6O3N6ycm4
31,ozdakaac3d5c3izl7tcrrzu7i,48230,Wannabe,Spice Girls,Spice,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls:Wannabe,1Je1IMUlBXcx1Fz0WE7oPT
32,ozdakaac3d5c3izl7tcrrzu7i,7590,You're Still The One,Shania Twain,Come On Over,spotify:track:1wb4P4F0sxAQ2KXrRvsx6n,Shania Twain:You're Still The One,1wb4P4F0sxAQ2KXrRvsx6n
33,ozdakaac3d5c3izl7tcrrzu7i,33270,"Bills, Bills, Bills",Destiny's Child,The Writing's On The Wall,spotify:track:1Oi2zpmL81Q0yScF1zxaC0,"Destiny's Child:Bills, Bills, Bills",1Oi2zpmL81Q0yScF1zxaC0
34,ozdakaac3d5c3izl7tcrrzu7i,9830,Endless Love,Lionel Richie,Back To Front,spotify:track:5iwyLsQ5yjnCaRrJGyAPZM,Lionel Richie:Endless Love,5iwyLsQ5yjnCaRrJGyAPZM
35,ozdakaac3d5c3izl7tcrrzu7i,134840,No Scrubs,TLC,Fanmail,spotify:track:1KGi9sZVMeszgZOWivFpxs,TLC:No Scrubs,1KGi9sZVMeszgZOWivFpxs
36,ozdakaac3d5c3izl7tcrrzu7i,30340,Around the World (La La La La La) - Radio Version,A Touch Of Class,Planet Pop,spotify:track:7CvOnbFdnIoXMQ4eFCo5lB,A Touch Of Class:Around the World (La La La La La) - Radio Version,7CvOnbFdnIoXMQ4eFCo5lB
37,ozdakaac3d5c3izl7tcrrzu7i,140370,Everytime We Touch,Cascada,Everytime We Touch,spotify:track:5YJtMNWKe55yr49cyJgxva,Cascada:Everytime We Touch,5YJtMNWKe55yr49cyJgxva
38,ozdakaac3d5c3izl7tcrrzu7i,1500,long story short,Taylor Swift,evermore,spotify:track:0vVMlbdYx2080Oa9FndPZr,Taylor Swift:long story short,0vVMlbdYx2080Oa9FndPZr
39,ozdakaac3d5c3izl7tcrrzu7i,10850,long story short,Taylor Swift,evermore,spotify:track:0vVMlbdYx2080Oa9FndPZr,Taylor Swift:long story short,0vVMlbdYx2080Oa9FndPZr
40,ozdakaac3d5c3izl7tcrrzu7i,299056,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:3z6XUommYDWPHeFhmhhT6j,Taylor Swift:Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j
41,ozdakaac3d5c3izl7tcrrzu7i,225960,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:3z6XUommYDWPHeFhmhhT6j,Taylor Swift:Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j
